journal_text,sleep_hours,screen_time,physical_activity,mood
Had a great day with friends and feeling energetic,7,5,Yes,happy
Feeling down and overwhelmed by assignments,4,10,No,sad
Very nervous about the exams coming up,6,8,No,anxious
Just an ordinary day nothing special,7,6,Yes,neutral
Feeling confident and motivated today!,8,4,Yes,happy
I'm tired and stressed out from studies,5,9,No,sad
Can't concentrate feeling anxious and restless,4,10,No,anxious
Feeling okay neither good nor bad,7,5,Yes,neutral
Really enjoyed my workout  feeling fantastic,8,3,Yes,happy
Had a rough day very low energy,3,11,No,sad
Worried about my performance in the recent test,5,10,No,anxious
Normal day with usual tasks doing regular activities,6,6,Yes,neutral
Excited about the upcoming project deadline,7,4,Yes,happy
Not feeling like doing anything today,4,9,No,sad
Feeling tense and stressed about the future,5,11,No,anxious
Feeling okay  just a little sleepy,6,7,Yes,neutral
Had a good day at college  went for a walk,8,4,Yes,happy
I'm tired and stressed about my assignments,5,9,No,sad
Very anxious before exams  I can't concentrate,4,10,No,anxious
Just an average day  nothing special happened,6,6,Yes,neutral
Had a productive study session today,7,5,Yes,happy
Feeling exhausted after back-to-back classes,4,9,No,sad
Anxious about upcoming presentations,5,8,No,anxious
Relaxed day  caught up with some reading,7,4,Yes,neutral
Feeling joyful and optimistic,8,3,Yes,happy
Worried about deadlines piling up,5,10,No,sad
Can't focus on studies  feeling restless,4,9,No,anxious
Normal routine day  nothing much happened,6,6,Yes,neutral
Had fun playing sports today,8,3,Yes,happy
Feeling drained and unmotivated,3,11,No,sad
Nervous about exams  sleeping poorly,4,8,No,anxious
Just another normal day,7,5,Yes,neutral
Excited for the weekend plans!,8,3,Yes,happy
Feeling overwhelmed with work,4,10,No,sad
Anxious thoughts keeping me awake,5,9,No,anxious
Taking it easy today  feeling calm,7,4,Yes,neutral
Happy with my progress in studies,8,3,Yes,happy
Feeling low energy and stressed,3,11,No,sad
Worrying about the future a lot,5,10,No,anxious
A calm and quiet day,7,5,Yes,neutral
Motivated to start new projects!,8,4,Yes,happy
Feeling fatigued and down,4,9,No,sad
Anxiety making it hard to focus,5,8,No,anxious
Peaceful day spent reading and relaxing,7,5,Yes,neutral
Great day  feeling accomplished,8,3,Yes,happy
Exhausted from constant studying,3,11,No,sad
Nervous energy about upcoming exams,4,9,No,anxious
Average day with regular activities,6,6,Yes,neutral
Happy and energized!,8,3,Yes,happy
Feeling stressed and burnt out,4,10,No,sad
Anxious and restless all day,5,9,No,anxious
"Quiet day, taking time to recharge",7,5,Yes,neutral
Feeling positive and hopeful,8,4,Yes,happy
Drained after a long day,3,11,No,sad
Worrying about schoolwork,5,10,No,anxious
Relaxed and content,7,5,Yes,neutral
Excited about learning new things!,8,3,Yes,happy
Feeling tired and overwhelmed,4,9,No,sad
Anxiety affecting concentration,5,8,No,anxious
Peaceful moments throughout the day,7,4,Yes,neutral
Great mood and motivation!,8,3,Yes,happy
Feeling exhausted and stressed,3,11,No,sad
Nervous about upcoming deadlines,4,10,No,anxious
Normal day with usual tasks,6,6,Yes,neutral
Happy and focused today!,8,4,Yes,happy
Burnt out from too much work,4,9,No,sad
Anxious thoughts throughout the day,5,8,No,anxious
Calm and balanced,7,5,Yes,neutral
Feeling hopeful and energetic,8,3,Yes,happy
Tired and stressed from studies,3,11,No,sad
Worrying about exams,5,10,No,anxious
A normal day  nothing special,7,5,Yes,neutral
Joyful and motivated,8,4,Yes,happy
Overwhelmed and fatigued,4,9,No,sad
Anxiety is high today,5,9,No,anxious
Relaxed and peaceful,7,4,Yes,neutral
Feeling good and confident,8,3,Yes,happy
Feeling tired and anxious,3,11,No,sad
Stressful thoughts about school,4,10,No,anxious
Calm day took some rest!,7,5,Yes,neutral
Happy and productive!,8,4,Yes,happy
Exhausted and stressed,4,9,No,sad
Anxious and worried,5,8,No,anxious
Peaceful and relaxed,7,5,Yes,neutral
Feeling optimistic and energetic,8,3,Yes,happy
Tired from long study hours,3,11,No,sad
Nervous about upcoming exams,5,10,No,anxious
Normal routine day,6,6,Yes,neutral
